customer_id,age,income,credit_score,account_balance,tenure_months,num_products,active_investment,has_mortgage,has_loan,has_credit_card,segment,risk_profile,total_assets,monthly_expenses,last_interaction_days,has_premium_credit_card,recommend_premium_credit_card,has_mortgage_refinance,recommend_mortgage_refinance,has_investment_account,recommend_investment_account,has_high_yield_savings,recommend_high_yield_savings,has_personal_loan,recommend_personal_loan,monthly_income,debt_to_income,savings_ratio,customer_description
1,51,50607.1,680,10469.91,238,3,1,0,1,1,Senior,Very Aggressive,179663.18,5779.39,51,1,0,0,5,0,37,0,71,0,23,4217.26,0.59,0.0,"Customer Profile:
Age: 51
Income: $50607.10 yearly ($4217.26 monthly)
Credit Score: 680
Account Balance: $10469.91
Total Assets: $179663.18
Monthly Expenses: $5779.39
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.59
Tenure: 238 months
Current Products: 3
Customer Segment: Senior
Risk Profile: Very Aggressive
Last Interaction: 51 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: No
Investment Account: No
High Yield Savings: No
Personal Loan: No
"
2,66,115063.88,602,4300.11,136,4,1,0,1,0,Premium,Aggressive,39942.96,3870.89,26,0,38,1,0,0,76,0,68,1,0,9588.66,0.43,0.6,"Customer Profile:
Age: 66
Income: $115063.88 yearly ($9588.66 monthly)
Credit Score: 602
Account Balance: $4300.11
Total Assets: $39942.96
Monthly Expenses: $3870.89
Savings Ratio: 0.60
Debt-to-Income Ratio: 0.43
Tenure: 136 months
Current Products: 4
Customer Segment: Premium
Risk Profile: Aggressive
Last Interaction: 26 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: No
Mortgage Refinance: Yes
Investment Account: No
High Yield Savings: No
Personal Loan: Yes
"
3,22,85956.39,337,8207.84,117,2,0,0,1,1,Student,Aggressive,20116.1,2384.72,84,1,0,0,35,1,0,0,38,0,0,7163.03,0.54,0.67,"Customer Profile:
Age: 22
Income: $85956.39 yearly ($7163.03 monthly)
Credit Score: 337
Account Balance: $8207.84
Total Assets: $20116.10
Monthly Expenses: $2384.72
Savings Ratio: 0.67
Debt-to-Income Ratio: 0.54
Tenure: 117 months
Current Products: 2
Customer Segment: Student
Risk Profile: Aggressive
Last Interaction: 84 days ago
Active Investment: No
Has Mortgage: No
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: No
Personal Loan: No
"
4,52,77300.64,458,137627.1,191,1,0,1,0,1,Basic,Very Aggressive,1463954.87,2037.76,75,1,0,1,0,1,0,1,0,1,0,6441.72,0.11,0.68,"Customer Profile:
Age: 52
Income: $77300.64 yearly ($6441.72 monthly)
Credit Score: 458
Account Balance: $137627.10
Total Assets: $1463954.87
Monthly Expenses: $2037.76
Savings Ratio: 0.68
Debt-to-Income Ratio: 0.11
Tenure: 191 months
Current Products: 1
Customer Segment: Basic
Risk Profile: Very Aggressive
Last Interaction: 75 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: No
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: Yes
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: Yes
"
5,48,64732.92,368,13921.67,116,2,0,0,1,1,Basic,Aggressive,12861.24,5579.84,75,0,29,0,1,0,65,0,64,0,0,5394.41,0.16,0.0,"Customer Profile:
Age: 48
Income: $64732.92 yearly ($5394.41 monthly)
Credit Score: 368
Account Balance: $13921.67
Total Assets: $12861.24
Monthly Expenses: $5579.84
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.16
Tenure: 116 months
Current Products: 2
Customer Segment: Basic
Risk Profile: Aggressive
Last Interaction: 75 days ago
Active Investment: No
Has Mortgage: No
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: No
High Yield Savings: No
Personal Loan: No
"
6,68,45929.63,559,18358.87,143,1,0,1,1,1,Senior,Aggressive,562850.19,1031.55,47,1,0,1,0,0,64,0,35,1,0,3827.47,0.3,0.7,"Customer Profile:
Age: 68
Income: $45929.63 yearly ($3827.47 monthly)
Credit Score: 559
Account Balance: $18358.87
Total Assets: $562850.19
Monthly Expenses: $1031.55
Savings Ratio: 0.70
Debt-to-Income Ratio: 0.30
Tenure: 143 months
Current Products: 1
Customer Segment: Senior
Risk Profile: Aggressive
Last Interaction: 47 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: Yes
Investment Account: No
High Yield Savings: No
Personal Loan: Yes
"
7,25,29785.72,740,2129.25,24,1,1,0,1,1,Standard,Very Conservative,111643.36,5570.28,48,0,52,0,11,1,0,1,0,0,81,2482.14,0.55,0.0,"Customer Profile:
Age: 25
Income: $29785.72 yearly ($2482.14 monthly)
Credit Score: 740
Account Balance: $2129.25
Total Assets: $111643.36
Monthly Expenses: $5570.28
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.55
Tenure: 24 months
Current Products: 1
Customer Segment: Standard
Risk Profile: Very Conservative
Last Interaction: 48 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: Yes
Has Credit Card: Yes
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: Yes
High Yield Savings: Yes
Personal Loan: No
"
8,45,34700.69,498,25452.09,38,3,0,1,0,1,Standard,Very Conservative,6265.08,3746.85,75,1,0,0,85,0,70,0,76,0,30,2891.72,0.58,0.0,"Customer Profile:
Age: 45
Income: $34700.69 yearly ($2891.72 monthly)
Credit Score: 498
Account Balance: $25452.09
Total Assets: $6265.08
Monthly Expenses: $3746.85
Savings Ratio: 0.00
Debt-to-Income Ratio: 0.58
Tenure: 38 months
Current Products: 3
Customer Segment: Standard
Risk Profile: Very Conservative
Last Interaction: 75 days ago
Active Investment: No
Has Mortgage: Yes
Has Loan: No
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: No
Investment Account: No
High Yield Savings: No
Personal Loan: No
"
9,34,52108.65,713,76042.32,186,3,0,0,0,1,Standard,Very Conservative,34278.84,2141.1,73,1,0,1,0,0,19,1,0,1,0,4342.39,0.5,0.51,"Customer Profile:
Age: 34
Income: $52108.65 yearly ($4342.39 monthly)
Credit Score: 713
Account Balance: $76042.32
Total Assets: $34278.84
Monthly Expenses: $2141.10
Savings Ratio: 0.51
Debt-to-Income Ratio: 0.50
Tenure: 186 months
Current Products: 3
Customer Segment: Standard
Risk Profile: Very Conservative
Last Interaction: 73 days ago
Active Investment: No
Has Mortgage: No
Has Loan: No
Has Credit Card: Yes
Premium Credit Card: Yes
Mortgage Refinance: Yes
Investment Account: No
High Yield Savings: Yes
Personal Loan: Yes
"
10,42,62713.01,782,4534.64,113,3,1,0,1,0,Premium,Very Aggressive,1159.97,2460.38,30,0,59,0,36,0,83,0,28,0,61,5226.08,0.49,0.53,"Customer Profile:
Age: 42
Income: $62713.01 yearly ($5226.08 monthly)
Credit Score: 782
Account Balance: $4534.64
Total Assets: $1159.97
Monthly Expenses: $2460.38
Savings Ratio: 0.53
Debt-to-Income Ratio: 0.49
Tenure: 113 months
Current Products: 3
Customer Segment: Premium
Risk Profile: Very Aggressive
Last Interaction: 30 days ago
Active Investment: Yes
Has Mortgage: No
Has Loan: Yes
Has Credit Card: No
Premium Credit Card: No
Mortgage Refinance: No
Investment Account: No
High Yield Savings: No
Personal Loan: No
"
