,Topic,Pledge
0,1,"Actually we as an association are still pretty much at the beginning due to the pandemic which took the better part of our ressources. What we want to provide is a proper guideline for STR how to achieve, maintain and develop a sustainable business.
Additionally our business is very fragmented and diverse. We have privat hosts with one or only a few apartments, professional hosts, local property managers of all sizes, platforms for STR (local, national and international level) and service providers for the industry of all kind.
Our target for 2025 is to achieve that guideline. 

Nonetheless Some of our members have implemented a variation of measures like strategies for a sustainable transmission, climate compensation, specific advertising for sustainable accomodations, using local supplies, charging stations for e-cars, using renewable energy and CO2-neutral construction, tools to minimise negative impact of tourism on neighbourhoods etc."
1,1,"EFFAT welcomes the Commission Proposal for a Regulation on data collection and sharing relating to short-term accommodation rental services COM(2022) 571 published on 7 November 2022. Such regulation is a first important step to ensure fair competition and a level playing field between all providers of accommodation services.

The collection of full and comprehensive data on short-term rental hosts and guests, and the obligation of short-term rental platforms to provide these data to national competent authorities, as well as the sharing of the data at European level, will enable Member States to better regulate the sector in a harmonised approach.

EFFAT, together with its social partner HOTREC, has been advocating for many years for a level playing field and fair competition in hospitality and tourism, asking that the same rules have to be applied to all providers of accommodation services, with regard to  e.g.
- Legislation
- Fiscal obligations
- Food hygiene rules
- Registration and permits for operation
- Licensing to serve alcohol
- Statistical measurement of the economic activity
- Safety and security
- Employees’ rights and protection
- Consumers’ rights
- Right to proper living conditions of residential neighbourhoods
- Zoning in urban planning, e.g. the distinction between residential and commercial properties
(see Joint EFFAT-HOTREC Statements on the Sharing / Platform Economy of December 2015 and November 2019)

EFFAT will 
- in 2023-2024, follow the legislative procedure for the Regulation through European Parliament and Council of Ministers
- during this legislative procedure, regularly keep its national member organisations updated about the legislation in the making, by reporting at least 2 times per year on the progress made and agree on measures to be taken by EFFAT and national affiliates
- once the Regulation is finally adopted, ask national member organisations to monitor the transposition of the Regulation in their countries and to push for its proper implementation, and to report at least 2 times per year about the actions taken and the progress made 
- follow the work of the Single Digital Entry Points Coordination Group composed of Member States' national coordinators
- continue to address the issue of short-term accommodation rental services in the Sectoral Social Dialogue Committee Horeca, by putting it on the agenda of the 2 Working Group and 1 Plenary meetings per year, and to undertake joint actions with its social partner HOTREC whenever necessary
- continue to advocate for further measures to guarantee a level playing field and fair competition in hospitality and tourism, by compelling short-term accommodation rental services to comply with the same rules and obligations as other accommodation providers

The actions described above shall contribute to achieving the aim that all short-term accommodation rental platforms have applied the obligations of the Regulation by 2025, or at least 2 years after its coming into force."
2,1,"HOTREC calls for a level playing field and fair competition in the EU for the hospitality sector. We advocate for a specific instrument that addresses the complex and diverse regulatory questions presented by the STR industry. The main objectives include the introduction of a robust and efficient EU-wide registration system; or outlining clear and comprehensive data-sharing requirements. HOTREC made its first call for a level playing field for hoteliers vis-à-vis STR in 2014 and has since then produced several brochures and policy papers addressing how to introduce rules which are adapted to STR services and necessary regulatory requirements. 

We commit to issue and disseminate during the course of 2022 our position and research study among the EU institutions as well as with members of HOTREC and other stakeholders via our website. We will continue to share our position on the matter including via meetings with interested parties and stakeholders in order to reach a fair framework on the topic. Through our internal working group on STR held twice a year as well as during our biannual General Assemblies, we’ll continue to gather information about STR developments in EU countries and share the latter with the EU stakeholders during the designing phase of the STR regulation. We intend to continue monitoring STR developments during the implementation phase of the STR initiative and act as an information sharing platform between our members"
3,1,"Estonia sees the need to synchronize and harmonize rules of short-term rentals at the EU level. We will participate in process of common development and implementation of common principles, however bearing in mind that regions are different and may need different approach."
4,1,"Sphere Travel Club contributes to a flourishing and transparent STR market by transparently controlling the quality and offer on its platform, opening up the market for exchange among holiday home owners. We pledge to curate a collection of properties that have outstanding quality, only correct information and owners of trust, so as to ensure that clients receive what they are offered and to avoid any type of fraud through a trustful environment.
Our target for 2025 is to have at least 15 properties in each member state of the EU.

Furthermore, many holiday properties stand empty up to 80% of the year and are only sparsely used by their owners, thereby representing a considerable environmental impact. One of our core aims is to provide a community of trust that allows more people to access unused holiday home properties through the sharing economy, thereby optimising the existing resources and positively contributing to the environment.
Our target for 2025 is to have saved 10.000 weeks from going to waste."
5,2,"Achieve sustainable and flexible solutions for multimodal transport and develop policies to protect natural heritage and biodiversity, respecting the socio-cultural authenticity of host communities.

CNA Turismo e Commercio, over the three-year period (between autumn 2022 and throughout 2023), will organize training seminars for businesses - with the involvement of public and private stakeholders - aimed at the implementation of concrete solutions for the development of good practices for a supply of multimodal transport and protocols for the respect and protection of the natural heritage and biodiversity."
6,2,"As an organisation representing transport workers, we are keen to ensure that there are realistic, practical and green intermodal transport solutions to support green travel of passengers to/from tourism destinations. The ETF represents workers in all transport modes, and we regularly work together to come up with common intermodal solutions, including under the TEN-T framework.

The ETF intends to hold a joint meeting of its railway and aviation members at the end of 2023 to discuss best possible intermodal strategies for the transfer of international passengers between the transport modes. This will feed into the ETF's broader policy position on intermodality."
8,3,"Improve the management and collection of sustainable tourism indicators in the scope of the certification process as a sustainable tourist destination under GSTC criteria, and make it available for stakeholders, in order to have a smart and sustainable tourism moddel approach, with the aim to achieve Gold certification standard by EarthCheck by 2024."
9,3,By 2025 we'll have a solid data business intelligence system based in our brand new digital platform and several big data sources.
10,3,".The Catalan Tourism Data System platform (TDS): is an electronic platform of the online survey system that allows managing and analyzing the evolution of the activity of accommodation and comparing it with the global destination, the type of accommodation and other brands tourist. The target for the next years would be to include expenditure data at the regional level
•	https://empresa.gencat.cat/ca/treb_ambits_actuacio/turisme/coneixement_planificacio/estadistiques-turistiques/tourism-data-system
•	https://catalunya.tourism-data-system.cat/

.The system of indicators of the Tourism Intelligence Indicators System (INTUCAT) has been approved. This index is structured based on 4 areas of measurement, which refer to the environmental sustainability, social sustainability and economic sustainability of the tourism activity at the destination. A fourth area that has been considered essential is the measurement of the achievement of the Sustainable Development Goals (SDGs).
Target: to develop and implement the System INTUCAT 
•	https://empresa.gencat.cat/ca/treb_ambits_actuacio/turisme/coneixement_planificacio/indicadors-turistics-ictucat-intucat/

. INTEL·LITUR: 
With a clear orientation towards data culture in the companies, Catalonia is promoting a platform where the client of the Catalan Tourist Board (CTB) (companies in the Catalan tourism sector) can find all the key information they need regarding products and markets. 
The platform, within the B2B portal of the CTB, consists of two parts, one part with quantitative information in PowerBI format and a virtual library with documents of interest generated by the CTB.
The information is structured according to the life cycle of the trip or according to the needs of the company: attracting customers, gaining customer loyalty, increasing productivity, increasing profitability or maintaining the company's staff.
Target: the first phase should be online by the end of 2023 (quantitative data), the second one by the end of 2024 (virtual library).

. TOT LAB: 
Catalonia is part of TOTLAB, NECSTOUR's knowledge laboratory.
We are working this 2022 on a project of indicators of sustainability in the territory focused on the so-called 4D, diversification of the tourist offer, territorial deconcentration of tourism, deseasonalization of the arrival of tourist flows and spending (Despesa in Catalan).
The aim of this work is to establish an index for measuring the correct implementation of the wise growth strategy proposed in our Marketing plan 18-23.
Target: Each year we will work on a topic that can be shared with the other participating members of TOTLAB, and so the other members should do."
11,3,"Working on a monitoring scheme for climate-neutral destinations. Calculating and monitoring the (real! comprehensive) CO2-Footprint of tourism; developing programs to avoid, reduce and compensate. The methodology should be ready, tested and available by end of 2023."
12,3,"Revision of the rules for the collection and, above all, the availability of statistical and sample data on tourist flows both at European level and for individual countries.

Given the interest and the attention towards this sector, from autumn 2022, CNA Turismo e Commercio will promote discussion with public and private stakeholders in order to streamline information flows and strengthen the governance capacity of statistics on the sector. The objective is to share aggregated data that play a strategic role and of common interest also for the purpose of a more immediate transmission to Eurostat.

To promote and support discussions, our organisation commits to provide concrete analysis and options of improving data flows and statistics yearly."
13,3,"Our Intermediterranean and Islands Commissions, together with several technical partners and Tourism Observatories in the Mediterranean, are working to create a Network of Mediterranean Observatories on Sustainable Tourism (Med NSTO). This work is being supported by an EU territorial cooperation project, BEST MED, funded by Interreg Med Programme. This project is producing an info hub and will deliver a road map describing the next steps to create the NSTO by the end of 2022. 

Our organization, including some of our member regions (e.g. in Italy and Spain) in particular are especially engaged in this process and will keep working after the project’s conclusion to set up this Network of observatories with the idea to bring together the main parties to share ideas, techniques and tools on data/indicators, and to build multi-level cooperation in order to seek better joint solutions and work in a common direction. 

Hopefully for 2025 we will have consolidated the current embryo of network of observatories, linking up with INSTO from UN WTO, the Glasgow Declaration and other initiatives/EC actions, indeed contributing to the EU Pathway and topic 3 and in particular to harmonised data collection, improving access to data for official statistics and including key sustainability indicators on the basis of the work already done in the past and in concrete projects such as BEST MED, Mitomed +, Co-Evolve, among others. 

It’s difficult to look further than 2025. This is a work in progress that will depend on the will and resources of all involved parties and on the support coming from EU funding streams which we are already applying for to the relevant cooperation programmes in the framework of open call for proposals (e.g. call for governance projects Euro-Med Interreg). 

If this experience works, we don’t exclude to assess the possibility to replicate it in other sea basins or in any case to extrapolate useful results for the benefit of other EU regions within our membership/EU Tourism transition pathway implementation. 

On a more general note, if any discussion on data/indicators is foreseen at EU level involving the regions our organization will be happy to liaise and provide representatives/experts from our member regions and their observatories. Also as a network we have a vocation to establish synergies with the foreseen tourism stakeholder collaboration platform and other platforms and initiatives."
14,3,"The increase of the main tourism indicators is one of the most important objectives of the tourism sector strategy, the implementation of which will start in the next period. We expect that by 2030 we will see not only consistent increases in tourism indicators, but also an operational measurement and monitoring system that is intuitive and adapted to trends."
15,3,"Tourism intelligence and innovation one of six action programs of the Strategic Tourism Plan for Navarra 2018-2025. This plan formulates the need to improve the measurement of Tourism in Navarra, including sustainability.
To meet these needs, the Navarra Tourism Observatory were been created to be at service for both the public administration and the sector. Since establishing the observatory, we have made considerable advancements and in 2019, we entered the UNWTO International Network of Sustainable Tourism Observatories (INSTO). As an INSTO member, we commit to submit a yearly report monitoring 11 mandatory issue areas.
The reports for 2019 and 2020 are available here:
https://www.visitnavarra.es/es/web/turismoprofesional/observatorio-turistico/red-observatorio-sostenible-insto/memorias-anuales
In 2021, we joined NECSTouR and its the Tourism of Tomorrow Lab. Through our participation in this network, we aim to further improve tourism statistics.
Strategic objectives:
Within the framework of the Navarra Tourism Action Plan 2020-2022, within Strategic Line 6: Tourism intelligence, the following objectives have been established:
- Monitor Navarra's tourist offer in its progress towards digital transformation, competitiveness, sustainability, quality and inclusion
- Increase knowledge about tourism flow and demand
- Measurement of social sustainability in the territory
- Monitoring of national and international trends and competitors
The degree of achievement of the same will be assessed through the monitoring of these indicators:
- Number of new data sources incorporated
- Variation in spending at destination
- Variation in indicators of sustainability, digital transformation, competitiveness and inclusion.
These objectives are in alignment with those proposed in:
- The Strategic Plan for Tourism 2018-2025, in which the ""Creation of the Navarra Tourism Observatory to improve the transfer of market intelligence knowledge to the sector as a whole"" was determined.
- And at the international level with the SDGs 2020: Objective 8 Decent work and economic growth; Objective 9 Industry, Innovation and Infrastructure; Objective 12 Responsible production and consumption)
Its development is also supported by the Smart Specialization Strategy of Navarra S4 (2021-2027 update), in which sustainable tourism is established as a thematic priority and the development of lines of work such as the ""Digital transition in the intelligence system of tourist markets. Collection of data on demand, preferences and behaviors for decision-making in tourism marketing”."
16,3,"In order to get harmonised tourism statistics including on economic, social and environmental sustainability, we need more detailed statistics on employment in tourism.
So far, there are very detailed statistics e.g. on tourist arrivals, on occupancy rates of accommodation, often provided on a monthly basis.

EFFAT will 
- in 2023-2025, continue to lobby Eurostat to collect and share more detailed data on employment in hospitality-tourism
- inform its member organisations about the statistics for the hospitality-tourism sector provided by Eurostat on a yearly basis, or whenever new statistics are published
- invite national member organisations to provide information about employment figures in case of particular circumstances, as done in 2020 to get knowledge about the job losses caused by the COVID-19 pandemic, and in 2022 to see the scope of labour shortages in the sector"
17,3,"Andalusia, together with three other Spanish Regions (Catalonia, Navarra and Valencia) have been awarded by the European Commission with the Structural Reform Support Service for the tourism ecosystem: towards a more sustainable, resilient and digital tourism.
The OECD is involved in this special technical support. This partnership of regions have been mobilised through NECSTouR Tourism of Tomorrow Lab, a network of European Regions collaborating for positioning sustainable and competitive tourism in the European Tourism Agenda. 
This DG Reform Support Service, implemented with the support of the OECD, and through the NECSTouR ToT Lab will work on:
•	The development of Definition of a joint methodology on sustainability within the framework of EU green deal and UN SDGs (expected for spring 2023),
•	Aggregation of fragmented data,
•	Developing pilots for implementing these monitoring tools (expected for December 2023) and
•	Capacity building and exchange on best practices for DMOs on sustainable monitoring frameworks"
18,3,"We are running the Sustainable Tourism Observatory of South Tyrol, being one of the most active observatories of the UNWTO Network INSTO. We are actively contributing to the advancement of Sustainable Tourism Monitoring and Statistics, by identifying new indicators (e.g. using GIS techniques), adequate proxies for missing data (e.g. estimation of resource consumptions) and new monitoring fields (e.g. immaterial heritage preservation). By 2025 we plan to further advance the work of the observatory and to link the political decision-making process to our statistics. Indeed, a regional development plan for South Tyrol (""Landestourismusentwicklungskonzept 2030+) has been approved and officially presented based on the observatory's data (see:  https://news.provinz.bz.it/de/news-archive/664727). This instrument will transform the tourism system based on the sustainability criteria and will establish maximum capacity limits for the accommodation sector. A website of the observatory is available here: https://sustainabletourism.eurac.edu ."
19,3,"Investing into a comprehensive research on the European health tourism that is based on primary datas and would include the private sector and then accelerate further destination development and economic impact of health tourism. The study report on health tourism (European Parliament, 2017) and the report on health tourism (UNWTO & ETC, 2018) imply that increasing the share of health tourism may reduce tourism seasonality, improve sustainability, and labour quality, and help to reduce healthcare costs through prevention measures and decreased pharmaceutical consumption. However, both reports lack primary data, and they did not consider the needs of the private sector.
Investing into developing high-quality data bases and benchmarking across all segments of the health tourism sector in Europe. Big data are the key to measure success in the digital era, but it requires intense efforts from the public and private sector. Health sector gathers significant data that are treated individually by each service provider. Benchmarking would allow performance measurement of marketing effects, and boost competitiveness and quality of services of the European health tourism offer. It would permit better inclusion of telemedicine and improve patients’ experience, including tourists and European citizens.
Measurable result: 
-within two years, a joint event with the UNWTO with a focus on health tourism and to present the economic impact of health resorts in one of our member states based on primary data
-in the next 2 years annual event in the EU Parliament for the health tourism industry
-part of the annual congress of ESPA to publish the medical results of preventive treatments in at least 3 countries as best case
- the create one innovation Award for a sustainable medical spa/spa town or spa hotel and to show focus on sustainbale methods in all other Innovation Awards categories 
-to extend the e-library where all medical rsult are published"
20,3,"Implementation of impact measurement framework by early 2023 and use it to inform all our travelers with a scoresheet with indicators relating to their trip on: 1) Scope 1-3 CO2 emissions, 2) socio-economic benefits 3) comparison of negative and positive effects. We will also use these scoresheets as internal management tool to track progress towards sustainability goals. We encourage travel in shoulder and low season for more regular local income throughout the year and aim to run 30% off tours outside of high season. Already implemented: Only vegetarian/ vegan meal options at team events."
21,3,"Global Blue is a VAT Refund operator present in all EU Member States. We provide technology solutions to facilitate the tax-free shopping process for European merchants and non-EU travellers in the EU. Through our services (and always in compliance with data protection rules), we are able to collect a wealth of data including traveller country of origin, countries of travel destination, shopping and travel habits. We are available to establish bilateral/multilateral agreements to share this data on a quarterly basis with relevant stakeholders to help inform their official statistics. This data will ultimately help inform official tourism statistics and indicators on the economic impact of international tourism to the EU. We hope to establish by 2025 data sharing practices in several MS which have contributed to improving their official tourism statistics."
23,3,"IN2destination actively voluntarily and under contract works with tourism destinations to improve their statistical data and indicators, such as developing sustainable tourism indicators to inform tourism policy decisions. The company also provides training and capacity-building for tourism stakeholders in data collection and analysis. IN2destination's concrete target for 2025 is to assist at least 15 destinations in improving their statistical data and indicators."
24,3,"ISTO's Observatory on Social, Fair and Sustainable Tourism will be running by 2025.  

ISTO is working on the development of an Observatory on Social, Fair and Sustainable Tourism with qualitative and quantitative indicators. Its main functions would be as follow :
To centralise, process and standardise in a coordinated manner the statistical information available from
various sources at national, regional or international level, as well as from surveys that are carried out
periodically from other sources of information.
To have available other data on supply and demand in the field of social, fair and sustainable tourism,
carried out by other bodies.
To create a documentary fund focusing on social policies in tourism, good practices, legislation, tourism
enterprises and customers, as well as academic works, which can be consulted by researchers and
interested stakeholders.
To promote the carrying out of specific studies that contribute to the improvement of the tourism sector.
To produce periodical publications of interest for the tourism sector.
ISTO's Observatory will be running by 2025"
25,3,"ISPRA commits to collect and publish indicators relating to ""tourism and the environment"" at a national and often regional level. These indicators are publicly available on the ISPRA Environmental Indicators Database updated annually (https: //annuario.isprambiente.it/sys_ind/macro/28) browsable online."
26,3,"Once a year we will monitor, and publish on the National tourism dashboard, social, environmental, and economic indicators for Slovakia, such as:
Social indicators:
1.	Tourist satisfaction - Specific Survey focused on foreign visitors mapping % tourists satisfied
2.	Pressure – Number of beds per 100 residents, Tourism Intensity (Number of tourists overnight stays per 100 residents per day), Tourism Density (Number of tourists overnight stays per day per km2)
Economic indicators:
1.	Regional Dispersion (Bednights in top 5 destinations)
2.	Seasonality Rate – All (Foreign and domestic) tourists bednights in all forms of paid accommodation establishments, Gini Coefficient (  
3.	Economic Benefits - Avg. spend of domestic and foreign tourist per person/per night in €, Average length of stay of tourists in all forms of paid accommodation establishments
4.	Employment - Tourism Employment/Total Employment (%)
Environmental indicators:
1.	Carbon footprint - Tons of CO2 generated by Accommodation and service activities, Travel agency, tour operator and other reservation service and related activities, and Air transport"
27,3,"New baseline data and insights are being developed with partners in the National Data Alliance (LDA). In 2023 we will deliver a new version of our 'Recreation & Tourism Standard', containing definitions and research methods used in teh field of recreation and tourism, to further develop and encourage the use of standards. Besides that, we are working with knowledge partners to develop a national data strategy for tourism which will be ready in the Summer of 2023. Based on that national data strategy we will work on a new activity plan for the LDA and our partners, ready by the end of 2023. By doing so, we are working towards a harmonised basic set of relevant tourism data and insights, which is available to the entire industry. A close look is also taken specifically at new key figures and indicators for the sector that better reflect the broad impact of tourism for the period 2024-2027. For instance indicators on carbon footprint/ emissions. These indicators are shared trough the dashboard 'State of destination Netherlands' via https://dashboard.nbtc.nl/. "
28,3,The Austrian Hoteliers Association (ÖHV) publishes studies on an ongoing basis and works with partners on further development to create more knowledge and transparency in tourism. The goal is to establish a hotel benchmark system in Austria by 2025.
29,3,"Developing a monitoring system to map the relevant indicators regarding active and sport truism in Portugal, identifying the barriers and the development enabling factors. Target by 2025: conclusion of the Portuguese Active/Sport Tourism Chart."
30,3,"The rainmaker Tourism Cloud Platform and the Destination Network Open Platform have a feature that shows statistics and insights for the entire customer journey (Dream, Plan, Book, Experience, Share) for a destination and its businesses in a unified dashboard. It uses anonymous data to provide market intelligence for the destination and its tourism organization (DMO). 

The goal for 2025 is to work with at least 50 tourism authorities and destinations to make this feature available to them."
31,3,"Region of Attica is selected as a replicating territory at INCIRCLE Project which is financed by INTERREGMED, in order to apply measures of tourism circular economy at the regional unit of the attica's islands. One of these measures is about the Establishment of a data recording and monitoring system for the transition towards Circular Tourism at the regional level.Our concrete target for 2027 is Data recording and processing for Circular transition monitoring."
32,3,"Statistical Office of the Republic of Slovenia (SURS) is constantly striving to provide accurate, up-to date and relevant data on various topics. In the field of tourism statistics, we are actively participating in the process of defining a set of indicators to measure economic, environmental and social areas of tourism within the new national strategy for the development of the tourism in 2022 – 2028. SURS will publish indicators for which we are collecting the data on our website.

SURS also successfully applied to technical support instrument (TSI): Support to the tourism ecosystem toward a more sustainable, resilient and digital tourism. Among other activities, we will address with TSI two key challenges we are facing – development of indicators and collection of data to measure sustainability and digitalisation of tourism. With these indicators, SURS will measure progress towards green and digital transformation of Slovenian tourism. The data will be published on our website.

SURS targets until 2025 are:
•	Definition and publication of indicators on economic performance of tourism
•	Development and publication of indicators to measure sustainability of tourism
•	Development and publication of indicators to measure digitalisation of tourism"
